id,title,price,primary_image,item_images
0,Bao Silicon Bảo Vệ Smartkey,80000,https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey.jpg,"[""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-all6.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-all3.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-green.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-orgran.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-purple.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-yellow.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-red.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-pink.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-gray.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-blue.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/03/dochoixedoc.vn-bao-silicon-honda-smartkey-black.jpg""]"
1,Bao Tay Barracuda Chính Hãng,350000,https://dochoixedoc.vn/wp-content/uploads/2018/06/dochoixedoc.vn-bao-tay-barracuda-real-2.jpg,"[""https://dochoixedoc.vn/wp-content/uploads/2018/06/dochoixedoc.vn-bao-tay-barracuda-real-2.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/06/dochoixedoc.vn-bao-tay-barracuda-real-1.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/06/dochoixedoc.vn-bao-tay-barracuda-real-5.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/06/dochoixedoc.vn-bao-tay-barracuda-real-4.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/06/dochoixedoc.vn-bao-tay-barracuda-real-3.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/06/dochoixedoc.vn-bao-tay-barracuda-real-6.jpg""]"
2,Bao tay Barracuda F1,200000,https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-baracuda-f1.jpg,"[""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-baracuda-f1-1.jpg""]"
3,Bao Tay Barracuda. Cao Su Có Gù Alux F1,350000,https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-barracuda-cao-su-co-gu-5.jpg,"[""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-barracuda-cao-su-co-gu-5.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-barracuda-cao-su-co-gu-1.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-barracuda-cao-su-co-gu-2.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-barracuda-cao-su-co-gu-3.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-barracuda-cao-su-co-gu-4.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-barracuda-cao-su-co-gu-6.jpg""]"
4,Bao Tay Luôn Gù Carbon Cao Cấp F1,350000,https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-luon-gu-carbon-4.jpg,"[""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-luon-gu-carbon-4.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-luon-gu-carbon-3.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-luon-gu-carbon-2.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-luon-gu-carbon-1.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-luon-gu-carbon-6.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/12/dochoixedoc.vn-bao-tay-luon-gu-carbon-5.jpg""]"
5,Bao tay Rizoma Lux F1,250000,https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-4.jpg,"[""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-1.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-2.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-3.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-5.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-6.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-7.jpg""]"
6,Bao tay Rizoma Sportline F1,250000,https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-sportline-2.jpg,"[""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-sportline.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-sportline-1.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-sportline-3.jpg""]"
7,Bao tay Rizoma Urlo F1,250000,https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-urlo-1.jpg,"[""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-urlo-6.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-urlo-4.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-urlo-3.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-urlo-2.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/04/dochoixedoc.vn-bao-tay-rizoma-urlo-5.jpg""]"
8,Bao tay Rizoma. 2018 cao cấp luôn gù F1,350000,https://dochoixedoc.vn/wp-content/uploads/2018/08/dochoixedoc.vn-bao-tay-rizoma-luon-gu-2.jpg,"[""https://dochoixedoc.vn/wp-content/uploads/2018/08/dochoixedoc.vn-bao-tay-rizoma-luon-gu-1.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/08/dochoixedoc.vn-bao-tay-rizoma-luon-gu-2.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/08/dochoixedoc.vn-bao-tay-rizoma-luon-gu-3.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/08/dochoixedoc.vn-bao-tay-rizoma-luon-gu-4.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/08/dochoixedoc.vn-bao-tay-rizoma-luon-gu-5.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/08/dochoixedoc.vn-bao-tay-rizoma-luon-gu-6.jpg""]"
9,Bao tay xe máy Spider cao cấp F1,250000,https://dochoixedoc.vn/wp-content/uploads/2018/11/dochoixedoc.vn-tay-thang-spider-5.jpg,"[""https://dochoixedoc.vn/wp-content/uploads/2018/11/dochoixedoc.vn-tay-thang-spider-1.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/11/dochoixedoc.vn-tay-thang-spider-2.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/11/dochoixedoc.vn-tay-thang-spider-3.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/11/dochoixedoc.vn-tay-thang-spider-4.jpg"", ""https://dochoixedoc.vn/wp-content/uploads/2018/11/dochoixedoc.vn-tay-thang-spider-5.jpg""]"
