id,name
1,"LAPTOP ACER PREDATOR HELIOS 300 PH315 52 7688 (Core i7 9750H, Ram 16 GB, SSD 256GB, 15.6 FHD, VGA 6G, WIN 10)"
2,"LAPTOP ACER PREDATOR HELIOS 300 PH315 52 78HH (Core i7 9750H, Ram 8GB, SSD 256GB, Màn hình 15.6 FHD, VGA 6GB, WIN 10)"
3,"LAPTOP DELL INSPIRON 5480 N5480A (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14 FHD)"
4,"LAPTOP MSI GF63 9SC 071VN (Core i5 9300H, Ram 8GB, SSD 256GB, VGA 4GB 1650, WIN10)"
5,"LAPTOP MSI GF63 9SC 070VN (Core i7 9750H, Ram 8GB, SSD 256GB, VGA 4GB 1650, WIN 10)"
6,"LAPTOP HP PRO 440 G6 6FL65PA (Core i7 8565U, Ram 8GB, HDD 1T + 128 GB, màn hình 14 FHD, VGA 2GB, DOS)"
7,"LAPTOP DELL VOSTRO 5581 - VRF6J1 (Core i5 8256U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, VGA 2GB, Win 10)"
8,"LAPTOP DELL XPS 13 9370 - 70170107 (Core i5 8250U, Ram 8GB, SSD 256GB, Màn hình 13.3 FHD, Win10)"
9,"LAPTOP ASUS ZENBOOK UX333FN - A4125T (Core i5 8265U, Ram 8GB, SSD 512GB, 13.3F/2G/WIN/SIL)"
10,"LAPTOP ASUS ZENBOOK UX333FA - A4011T (Core i5 8265U, Ram 8GB, SSD 256GB, Màn hình 13.3 FHD, Win 10)"
11,"LAPTOP DELL VOSTRO 5581 - V5581A (Core i7 8565U, Ram 8GB, SSD 256Gb, Màn hình 15.6 FHD, VGA MX 130 2GB, Win 10)"
12,"LAPTOP ASUS VIVOBOOK S13 S330FA - EY005T (Core i5 8265U, Ram 8GB, SSD 256GB, Màn hình 13.3 FHD, WIN 10)"
13,"LAPTOP ASUS F560UD BQ400T (Core i5 8250U, Ram 8GB, HDD 1TB, Màn hình 15.6 FHD, VGA 4GB, Win 10)"
14,"LAPTOP ASUS ZENBOOK UX333FA - A4181T (Core i5 8265U, Ram 8GB, SSD 256GB, Màn hình 13.3 FHD, Win 10)"
15,"LAPTOP DELL G3 F3579 - 70165058 (Core i7 8750H, Ram 4GB, HDD 2TB +16GB Optane, Màn hình 15.6 FHD, VGA 4GB, Win 10)"
16,"LAPTOP DELL VOSTRO 5481 - V4I5227W (Core i5 8265U, Ram 4GB, HDD 1TB, 14 FHD, Win 10)"
17,"LAPTOP DELL VOSTRO 5481 - 70175949 (Core I7 8565U, Ram 8 GB, HDD 1T + 128 GB, Màn hình 14 FHD, VGA 2GB, Win 10)"
18,"LAPTOP HP ENVY X360 RYZEN 5 6CH38PA (AMD 2500, Ram 8GB, SSD 256, Màn hình 13.3 FHD, Win 10)"
19,"LAPTOP HP ENVY X360 RYZEN 7 6CH40PA (AMD 2700, Ram 8GB, SSD 256GB, Màn hình13.3 FHD, Win 10)"
20,"LAPTOP ASUS TUF GAMING FX505GD - BQ012T (Core i5 8300H, Ram 8GB, HDD 1T, Màn hình 15.6 FHD, VGA 1050 4G, Win 10)"
21,"LAPTOP ASUS TUF GAMING FX505GD - BQ088T (Core i5 8300H, Ram 8GB, HDD 1T, màn hình 15.6 FHD, VGA 1050 4GB, Win 10)"
22,"LAPTOP LENOVO IP 130 15AST 81H50020VN (AMD A4 9125, Ram 4GB, HDD 500GB, Màn hình 15.6 FHD, Win 10)"
23,"LAPTOP DELL VOSTRO 5370 - 7M6D51 (Core i5 8250U, Ram 4GB, SSD 256GB, Màn hình 13.3 FHD, Win 10)"
24,"LAPTOP HP PAVILION 14 CE1012TU 5JN66PA (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, Win 10)"
25,"LAPTOP HP PAVILION 14 CE1013TU 5JN20PA (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, Win 10)"
26,"LAPTOP ASUS FX505GE - BQ037T (Core i7 8750H, Ram 8GB, HDD 1T + 128G, VGA 4G, WIN 10)"
27,"LAPTOP DELL INSPIRON 14 5480 - X6C891 (Core i5 8265U, Ram 4GB, 128GB SSD+1TB, Màn hình 14 FHD, VGA 2G, Win 10)"
28,"LAPTOP ASUS ZENBOOK UX433FA - A6053T (Core i5 8265U, Ram 8GB, SSD 256GB, màn hình 14 FHD, WIN 10)"
29,"LAPTOP MSI GL73 8RC 230VN (CORE I7 8750H, Ram 8GB, HDD 1T, Màn hình 17.3 FHD, VGA 4G, WIN 10 )"
30,"LAPTOP DELL INSPIRON 5570 - N5570F (Core i78550U, Ram 8GB, SSD 256GB, Màn hình 15.6 FHD, VGA 4GB, DOS)"
