user,item,rating
1,1282,4
1,800,3
1,516,4
1,1389,1
1,2697,2
1,926,4
1,1137,3
1,749,1
1,900,3
1,2106,4
1,647,1
1,399,4
1,2212,4
1,666,2
1,1500,3
1,2333,4
1,1431,1
1,148,4
1,350,1
1,2735,1
2,159,1
2,2285,4
2,2074,3
2,1988,4
2,859,3
2,2481,2
2,617,4
2,2671,2
2,742,2
2,2508,1
2,1759,1
2,874,3
2,120,3
2,343,1
2,1342,1
2,841,2
2,2321,2
2,2295,2
2,1356,2
2,2129,3
3,1141,4
3,50,3
3,1941,4
3,2173,3
3,1133,4
3,2724,1
3,1001,1
3,2243,1
3,1465,4
3,132,2
3,1898,1
3,1039,4
3,2764,2
3,1418,1
3,2292,1
3,2142,3
3,1311,4
3,1300,4
3,2074,4
3,25,2
4,1661,2
4,470,3
4,488,4
4,759,4
4,2542,4
4,565,3
4,2736,4
4,1134,1
4,343,3
4,2304,4
4,2181,2
4,486,3
4,615,3
4,922,2
4,721,3
4,2396,3
4,413,3
4,1702,3
4,1594,2
4,1560,4
5,1421,3
5,270,1
5,615,1
5,1192,3
5,91,4
5,955,2
5,2791,1
5,2722,4
5,2000,3
5,1246,4
5,2264,2
5,2632,1
5,1117,3
5,752,4
5,469,3
5,1766,1
5,2298,4
5,935,2
5,1300,1
5,2363,1
6,2323,4
6,912,4
6,804,2
6,516,4
6,268,1
6,2742,1
6,2280,1
6,1468,1
6,875,4
6,53,3
6,1069,2
6,1944,1
6,724,4
6,2780,2
6,1146,4
6,2658,2
6,962,3
6,833,1
6,374,3
6,1649,2
7,1182,3
7,248,1
7,1049,4
7,1963,2
7,490,4
7,1616,2
7,1109,4
7,2318,2
7,2775,4
7,2514,3
7,2044,3
7,1081,3
7,2423,4
7,1215,2
7,2799,3
7,75,2
7,2756,1
7,1374,1
7,219,2
7,2126,3
8,2045,3
8,1435,4
8,1890,3
8,589,2
8,1946,2
8,2239,3
8,547,4
8,303,4
8,2422,4
8,1183,4
8,64,1
8,668,2
8,2313,4
8,2469,4
8,890,2
8,2216,1
8,994,3
8,2457,4
8,608,3
8,2158,4
9,1748,4
9,1908,4
9,1228,2
9,283,3
9,1146,3
9,709,2
9,2768,3
9,1627,3
9,535,4
9,1756,2
9,1081,4
9,1200,4
9,748,4
9,225,2
9,878,4
9,1508,2
9,483,1
9,1803,1
9,761,1
9,1305,1
10,1743,4
10,352,1
10,660,2
10,1177,1
10,2215,4
10,214,1
10,2199,2
10,1539,1
10,169,1
10,192,1
10,1906,4
10,2013,1
10,272,2
10,817,2
10,205,2
10,1546,4
10,2496,1
10,711,3
10,1897,2
10,2211,3
11,2743,3
11,423,1
11,97,4
11,1724,4
11,1764,3
11,2364,3
11,591,2
11,2340,3
11,1109,2
11,1222,2
11,2327,2
11,1694,3
11,1860,2
11,1171,1
11,2538,3
11,581,2
11,1067,2
11,1027,1
11,1211,2
11,1502,2
12,1077,4
12,1673,1
12,388,4
12,486,4
12,218,3
12,593,4
12,1940,3
12,834,2
12,820,4
12,2094,1
12,2452,1
12,2447,4
12,729,3
12,2033,3
12,1985,3
12,1644,3
12,1510,2
12,1025,4
12,2350,3
12,157,1
13,419,4
13,612,4
13,2543,2
13,1303,1
13,603,4
13,1702,1
13,738,3
13,954,3
13,140,2
13,2122,2
13,1409,4
13,2427,1
13,2403,4
13,2642,2
13,618,4
13,239,1
13,2302,4
13,1452,4
13,105,2
13,1118,2
14,2570,1
14,1171,4
14,1507,1
14,1523,2
14,754,4
14,1348,4
14,680,3
14,757,3
14,730,2
14,2089,2
14,2057,2
14,2448,2
14,2181,2
14,2208,2
14,2418,3
14,682,3
14,2384,4
14,2121,1
14,363,1
14,2200,1
15,1488,2
15,937,2
15,661,1
15,1824,4
